gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
679000, 0.039754983, 0.02129054, 0.0012928942, 0.11665791, 2.717426, 618, 0
680000, 0.039864667, 0.033122223, 0.0013094861, 0.116671905, 2.718882, 618, 0
681000, 0.040658116, 0.024056034, 0.0012983811, 0.116695136, 2.7198684, 618, 0
682000, 0.039933827, 0.01817515, 0.0012970165, 0.11670759, 2.7204509, 618, 0
683000, 0.038876526, 0.028579999, 0.0013083358, 0.116725564, 2.7213883, 618, 0
684000, 0.040250856, 0.027573286, 0.0013018526, 0.11676688, 2.7221427, 618, 0
685000, 0.04075937, 0.029394273, 0.0013132383, 0.11677205, 2.7223928, 618, 0
686000, 0.040563777, 0.027583668, 0.0013080953, 0.11678012, 2.7233222, 618, 0
687000, 0.04067406, 0.035276502, 0.001322837, 0.11677453, 2.7250042, 618, 0
688000, 0.040196244, 0.02267111, 0.0013278784, 0.11679846, 2.7255766, 618, 0
689000, 0.040736414, 0.037869606, 0.0013104294, 0.11683524, 2.7262928, 618, 0
690000, 0.040043317, 0.02436638, 0.0013169918, 0.116868846, 2.727502, 618, 0
691000, 0.03951683, 0.02667887, 0.0013083369, 0.11690325, 2.728055, 618, 0
692000, 0.03961605, 0.026263613, 0.0013202582, 0.116918646, 2.7290833, 618, 0
693000, 0.039444286, 0.024705945, 0.0013312012, 0.116918705, 2.730148, 618, 0
694000, 0.038385075, 0.030981902, 0.001340124, 0.116921134, 2.7300887, 618, 0
695000, 0.0383934, 0.021213748, 0.0013306622, 0.11697353, 2.7312143, 618, 0
696000, 0.0389449, 0.019385142, 0.0013249427, 0.11700772, 2.7326088, 618, 0
697000, 0.03966495, 0.02084073, 0.0013292868, 0.11702033, 2.7333465, 618, 0
698000, 0.039074555, 0.023904892, 0.0013207513, 0.11707118, 2.734271, 618, 0
699000, 0.03884914, 0.02240091, 0.0013182504, 0.11710128, 2.7354243, 618, 0
700000, 0.039025996, 0.023853393, 0.0013084593, 0.11713977, 2.7362046, 618, 0
701000, 0.03995365, 0.031853218, 0.0013232722, 0.117147185, 2.737021, 618, 0
702000, 0.039714213, 0.035120357, 0.0013381501, 0.117132716, 2.737574, 618, 0
703000, 0.03822009, 0.02644326, 0.0013304902, 0.11718397, 2.7387598, 618, 0
704000, 0.03840326, 0.027174179, 0.0013413485, 0.11719408, 2.7400322, 618, 0
705000, 0.038693316, 0.017809922, 0.0013370363, 0.117232196, 2.7411072, 617, 0
706000, 0.038926654, 0.017789302, 0.0013381074, 0.117244616, 2.741829, 617, 0
707000, 0.038616955, 0.021705616, 0.0013297434, 0.11729101, 2.7423952, 617, 0
708000, 0.039438102, 0.014535212, 0.0013328829, 0.11730756, 2.7433472, 617, 0
709000, 0.038991805, 0.016401054, 0.0013303274, 0.11732831, 2.744521, 617, 0
710000, 0.03927538, 0.012940329, 0.001328166, 0.117352754, 2.744977, 617, 0
711000, 0.038579468, 0.026237015, 0.0013401118, 0.11736092, 2.7451558, 617, 0
712000, 0.03912589, 0.021103876, 0.0013421003, 0.11738278, 2.7461622, 617, 0
713000, 0.038965233, 0.04833242, 0.0013217381, 0.11743485, 2.746188, 617, 0
714000, 0.038863733, 0.038830582, 0.0013393281, 0.117438674, 2.746671, 617, 0
715000, 0.040142942, 0.04410663, 0.0013264221, 0.117472306, 2.746982, 617, 0
716000, 0.0403851, 0.04557849, 0.0013396302, 0.117470175, 2.7474053, 617, 0
717000, 0.039648518, 0.06775172, 0.0013111233, 0.11754536, 2.7478063, 617, 0
718000, 0.040971257, 0.05568761, 0.0012934075, 0.117596805, 2.7477155, 617, 0
719000, 0.040539574, 0.045158375, 0.0013101117, 0.11760937, 2.7475173, 617, 0
720000, 0.039743897, 0.04359297, 0.0013081393, 0.1176365, 2.747442, 617, 0
721000, 0.038843296, 0.043915763, 0.0013240213, 0.1176211, 2.747186, 617, 0
722000, 0.039854124, 0.059203982, 0.001301319, 0.11768019, 2.7473571, 617, 0
723000, 0.039186627, 0.03592922, 0.0013125289, 0.11770854, 2.7473788, 617, 0
724000, 0.039927736, 0.046154737, 0.0012994857, 0.117759734, 2.7470245, 617, 0
725000, 0.03943229, 0.039685447, 0.0012907825, 0.117812395, 2.746683, 617, 0
726000, 0.038854748, 0.031779442, 0.001293492, 0.11786028, 2.74653, 617, 0
727000, 0.03891234, 0.03819305, 0.00128641, 0.11790203, 2.7463431, 618, 0
728000, 0.038894303, 0.043724313, 0.0013093295, 0.11791256, 2.7466626, 617, 0
729000, 0.03867009, 0.028835027, 0.0013019142, 0.11793978, 2.7472982, 617, 0
730000, 0.038468156, 0.03427132, 0.0013160103, 0.117962584, 2.7469344, 617, 0
731000, 0.03904777, 0.039657876, 0.00133264, 0.117973246, 2.7468762, 617, 0
732000, 0.037933417, 0.029985411, 0.0013267496, 0.11801062, 2.7470827, 617, 0
733000, 0.03860955, 0.057760745, 0.0013002066, 0.11807951, 2.7470624, 617, 0
734000, 0.038180698, 0.027489468, 0.0013098863, 0.11811471, 2.7471747, 617, 0
