gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
893000, 0.0361678, 0.026741145, -0.0015492117, 0.14970285, 5.2920413, 629, 2
894000, 0.036870304, 0.013898623, -0.0015530197, 0.14973581, 5.294768, 629, 2
895000, 0.03587837, 0.031138824, -0.0015350523, 0.1497453, 5.2898817, 629, 2
896000, 0.035617378, 0.012244148, -0.0015334575, 0.14977503, 5.2912703, 629, 2
897000, 0.03610126, 0.015224197, -0.001538753, 0.14981595, 5.294451, 629, 2
898000, 0.03540306, 0.012945805, -0.0015410088, 0.1498566, 5.2972603, 629, 2
899000, 0.034889095, 0.019560745, -0.0015502532, 0.14990076, 5.302173, 629, 2
900000, 0.035526566, 0.024126684, -0.0015617891, 0.14995055, 5.307973, 629, 2
901000, 0.036359206, 0.0253088, -0.0015479298, 0.14996998, 5.3035784, 629, 2
902000, 0.0350796, 0.01832342, -0.0015566214, 0.15001734, 5.3094134, 629, 2
903000, 0.036041833, 0.024615608, -0.0015424963, 0.15003563, 5.3056397, 629, 2
904000, 0.035726346, 0.021472672, -0.0015523356, 0.15008326, 5.3113422, 629, 2
905000, 0.03578648, 0.015823402, -0.0015579453, 0.1501223, 5.3151417, 629, 2
906000, 0.03574566, 0.017292844, -0.001566291, 0.15016931, 5.320176, 631, 2
907000, 0.03547648, 0.011213941, -0.0015649828, 0.15020375, 5.319697, 631, 2
908000, 0.03536162, 0.017293045, -0.0015725266, 0.15024577, 5.323523, 631, 2
909000, 0.035729412, 0.020774709, -0.0015606293, 0.15026745, 5.3210516, 631, 2
910000, 0.034733616, 0.016352002, -0.0015521127, 0.15029036, 5.318939, 631, 2
911000, 0.03595711, 0.01526348, -0.0015446716, 0.15031673, 5.319179, 630, 2
912000, 0.036280893, 0.009955101, -0.0015423335, 0.15034674, 5.3214493, 630, 2
913000, 0.0356039, 0.01900338, -0.001532512, 0.15036802, 5.3184304, 630, 2
914000, 0.035366092, 0.009503649, -0.0015338989, 0.1504032, 5.3199887, 630, 2
915000, 0.03604764, 0.011776987, -0.0015288483, 0.15042846, 5.3198395, 630, 2
916000, 0.03610415, 0.01100085, -0.0015253456, 0.15045406, 5.3205166, 630, 2
917000, 0.035138555, 0.014169375, -0.0015303165, 0.15049593, 5.3241487, 629, 2
918000, 0.03556839, 0.015518971, -0.0015222852, 0.15052196, 5.3228984, 629, 2
919000, 0.03511153, 0.01217451, -0.0015254925, 0.15055723, 5.324603, 629, 2
920000, 0.036161605, 0.035900064, -0.0015043898, 0.15056224, 5.3166356, 630, 2
921000, 0.035598334, 0.019538427, -0.0014939642, 0.15058327, 5.3152347, 630, 2
922000, 0.035578743, 0.023660202, -0.0014804516, 0.15059811, 5.3114023, 631, 2
923000, 0.035931025, 0.018478863, -0.001470645, 0.15061891, 5.3082876, 630, 2
924000, 0.03481561, 0.02817468, -0.001484953, 0.15066564, 5.314566, 631, 2
925000, 0.03559513, 0.014937226, -0.0014784985, 0.15068826, 5.3134475, 630, 2
926000, 0.035589777, 0.03502483, -0.0014581009, 0.15070027, 5.3058023, 630, 2
927000, 0.03547493, 0.02646902, -0.0014435868, 0.15071622, 5.300912, 630, 2
928000, 0.03589397, 0.030037846, -0.0014259113, 0.15072905, 5.2949276, 631, 2
929000, 0.034988727, 0.01868601, -0.0014345564, 0.15077521, 5.3004875, 630, 2
930000, 0.03591177, 0.016987989, -0.0014402276, 0.15080741, 5.3042445, 630, 2
931000, 0.035455234, 0.030096905, -0.0014222296, 0.15081888, 5.298115, 630, 2
932000, 0.0351708, 0.017120263, -0.0014306656, 0.15086137, 5.3035007, 630, 2
933000, 0.03568033, 0.013966325, -0.0014245481, 0.15088715, 5.3028836, 630, 2
934000, 0.03500193, 0.01974434, -0.0014135676, 0.15090849, 5.3001614, 630, 2
935000, 0.035947252, 0.019824605, -0.0014027694, 0.15092693, 5.2966685, 630, 2
936000, 0.035891503, 0.03432526, -0.0013825326, 0.15093149, 5.290662, 630, 2
937000, 0.035325762, 0.0126564335, -0.0013800029, 0.15095903, 5.2916574, 629, 2
938000, 0.035862535, 0.021782352, -0.0013685977, 0.15097833, 5.288556, 629, 2
939000, 0.03613231, 0.010911679, -0.0013666195, 0.15100664, 5.2898397, 629, 2
940000, 0.03438345, 0.018113244, -0.0013737446, 0.15105386, 5.2945876, 629, 2
941000, 0.03510178, 0.014963284, -0.0013663741, 0.15107627, 5.293519, 629, 2
942000, 0.03489956, 0.013729334, -0.0013601044, 0.1511036, 5.293196, 629, 2
943000, 0.03490746, 0.017097283, -0.0013682779, 0.15114556, 5.297883, 629, 2
944000, 0.034070946, 0.038261812, -0.0013897601, 0.15120424, 5.3080254, 629, 2
945000, 0.0349534, 0.011033091, -0.0013935678, 0.1512433, 5.311938, 629, 2
946000, 0.034967244, 0.012282169, -0.0013979581, 0.1512805, 5.3147774, 629, 2
947000, 0.03430025, 0.0134380385, -0.0013931803, 0.15131044, 5.3121476, 629, 2
948000, 0.034835238, 0.032300625, -0.0014111123, 0.15136345, 5.322134, 630, 2
949000, 0.03383209, 0.010560193, -0.0014139318, 0.15139787, 5.3239, 630, 2
950000, 0.035055313, 0.033675887, -0.0013940855, 0.15140985, 5.316955, 629, 2
951000, 0.035010714, 0.009117668, -0.0013912802, 0.15143834, 5.31786, 629, 2
952000, 0.033960484, 0.010485998, -0.0013916887, 0.1514759, 5.3196955, 630, 2
953000, 0.034632925, 0.00964491, -0.0013884292, 0.15150124, 5.3201995, 630, 2
954000, 0.03434307, 0.010022094, -0.0013904226, 0.15154117, 5.32258, 630, 2
